threshold,precision,recall,fp,fn,tp,tn
0.0,0.22120833333333334,1.0,18691,0,5309,0
0.011996564310929925,0.22120833333333334,1.0,18691,0,5309,0
0.014870803822628162,0.22121755073128047,1.0,18690,0,5309,1
0.014945960771316734,0.2212267688974081,1.0,18689,0,5309,2
0.014967751712301356,0.2212359878318123,1.0,18688,0,5309,3
0.01582982647303232,0.2212452075345891,1.0,18687,0,5309,4
0.01725998833073282,0.22125442800583456,1.0,18686,0,5309,5
0.01783655934562235,0.22126364924564473,1.0,18685,0,5309,6
0.018066672727708018,0.2212728712541158,1.0,18684,0,5309,7
0.018204569236895646,0.22128209403134377,1.0,18683,0,5309,8
0.018601631422520436,0.22129131757742487,1.0,18682,0,5309,9
0.018616248477255626,0.22130054189245518,1.0,18681,0,5309,10
0.0188498675814231,0.2213097669765309,1.0,18680,0,5309,11
0.021043419278417325,0.2213189928297482,1.0,18679,0,5309,12
0.02171663711500752,0.22132821945220327,1.0,18678,0,5309,13
0.021935287073270526,0.22133744684399234,1.0,18677,0,5309,14
0.022234032514613998,0.2213466750052116,1.0,18676,0,5309,15
0.022261057305512418,0.2213559039359573,1.0,18675,0,5309,16
0.022783958082642865,0.22136513363632573,1.0,18674,0,5309,17
0.02283105849804349,0.22137436410641315,1.0,18673,0,5309,18
0.02313159955504792,0.22138359534631583,1.0,18672,0,5309,19
0.023245881874267023,0.2213928273561301,1.0,18671,0,5309,20
0.023283337378968687,0.2214020601359523,1.0,18670,0,5309,21
0.023369107929397833,0.22141129368587872,1.0,18669,0,5309,22
0.02339977683758991,0.22142052800600576,1.0,18668,0,5309,23
0.023720315832634297,0.22142976309642975,1.0,18667,0,5309,24
0.023778299494552856,0.22143899895724714,1.0,18666,0,5309,25
0.023985728801117812,0.22144823558855425,1.0,18665,0,5309,26
0.024029488748395555,0.22145747299044757,1.0,18664,0,5309,27
0.02453501616392099,0.22146671116302352,1.0,18663,0,5309,28
0.024565414698085764,0.22147595010637855,1.0,18662,0,5309,29
0.024760847186751166,0.2214851898206091,1.0,18661,0,5309,30
0.02500624465717971,0.22149443030581167,1.0,18660,0,5309,31
0.025217559319176793,0.22150367156208278,1.0,18659,0,5309,32
0.025345389480505767,0.2215129135895189,1.0,18658,0,5309,33
0.025437569253394944,0.22152215638821665,1.0,18657,0,5309,34
0.02554084393463819,0.22153139995827248,1.0,18656,0,5309,35
0.025781158429339396,0.221540644299783,1.0,18655,0,5309,36
0.025845276721659344,0.2215498894128448,1.0,18654,0,5309,37
0.026097446987941503,0.22155913529755447,1.0,18653,0,5309,38
0.02619230552772891,0.2215683819540086,1.0,18652,0,5309,39
0.026304622341566473,0.22157762938230385,1.0,18651,0,5309,40
0.026998782507169184,0.22158687758253684,1.0,18650,0,5309,41
0.027021263836944052,0.22159612655480423,1.0,18649,0,5309,42
0.027255262645735617,0.22156363484576533,0.9998116406102844,18649,1,5308,42
0.027572045715564732,0.22157288361996993,0.9998116406102844,18648,1,5308,43
0.027853191599278487,0.22158213316635358,0.9998116406102844,18647,1,5308,44
0.028066334318728264,0.22159138348501295,0.9998116406102844,18646,1,5308,45
0.028315833414374703,0.22160063457604476,0.9998116406102844,18645,1,5308,46
0.0285352987934343,0.22160988643954577,0.9998116406102844,18644,1,5308,47
0.028576355838250272,0.2216191390756127,0.9998116406102844,18643,1,5308,48
0.028606772281259588,0.22158663883089771,0.9996232812205689,18643,2,5307,48
0.028730947622960485,0.22159589126894652,0.9996232812205689,18642,2,5307,49
0.02877189644263178,0.22160514447970603,0.9996232812205689,18641,2,5307,50
0.028797453025089695,0.22161439846327305,0.9996232812205689,18640,2,5307,51
0.02895962064973379,0.22162365321974442,0.9996232812205689,18639,2,5307,52
0.02909128686699639,0.22163290874921696,0.9996232812205689,18638,2,5307,53
0.029234137535008243,0.2216421650517875,0.9996232812205689,18637,2,5307,54
0.029302103252236443,0.22160965626696738,0.9994349218308533,18637,3,5306,54
0.02974221459940774,0.2216189123715646,0.9994349218308533,18636,3,5306,55
0.02992361801115972,0.2216281692494048,0.9994349218308533,18635,3,5306,56
0.029972443731169574,0.2216374269005848,0.9994349218308533,18634,3,5306,57
0.030057489747627612,0.22164668532520154,0.9994349218308533,18633,3,5306,58
0.030262597789158872,0.221655944523352,0.9994349218308533,18632,3,5306,59
0.030420600024060166,0.22166520449513305,0.9994349218308533,18631,3,5306,60
0.03045696670292347,0.22167446524064172,0.9994349218308533,18630,3,5306,61
0.03062141531646042,0.22168372675997494,0.9994349218308533,18629,3,5306,62
0.030648889864072795,0.2216929890532297,0.9994349218308533,18628,3,5306,63
0.030662222009755463,0.22170225212050307,0.9994349218308533,18627,3,5306,64
0.031042475123931643,0.22171151596189204,0.9994349218308533,18626,3,5306,65
0.031133333387986822,0.22172078057749361,0.9994349218308533,18625,3,5306,66
0.031150451784455316,0.22173004596740492,0.9994349218308533,18624,3,5306,67
0.03140463030910609,0.22173931213172302,0.9994349218308533,18623,3,5306,68
0.03142850843553152,0.22170678702774993,0.9992465624411377,18623,4,5305,68
0.031460169598509405,0.22171605299452501,0.9992465624411377,18622,4,5305,69
0.031554924517790635,0.22172531973585222,0.9992465624411377,18621,4,5305,70
0.031859194417510873,0.22173458725182862,0.9992465624411377,18620,4,5305,71
0.032152467007134575,0.2217438555425514,0.9992465624411377,18619,4,5305,72
0.03226421181180414,0.22175312460811772,0.9992465624411377,18618,4,5305,73
0.03232130851353071,0.2217623944486247,0.9992465624411377,18617,4,5305,74
0.032525579063250286,0.22177166506416957,0.9992465624411377,18616,4,5305,75
0.032530950652462455,0.2217809364548495,0.9992465624411377,18615,4,5305,76
0.03266122707356184,0.22179020862076174,0.9992465624411377,18614,4,5305,77
0.03276228104594664,0.22179948156200352,0.9992465624411377,18613,4,5305,78
0.03283576460268922,0.22180875527867208,0.9992465624411377,18612,4,5305,79
0.032906364118844456,0.2218180297708647,0.9992465624411377,18611,4,5305,80
0.0329919335272366,0.22182730503867865,0.9992465624411377,18610,4,5305,81
0.03300731548179436,0.22183658108221127,0.9992465624411377,18609,4,5305,82
0.033110798027563705,0.22184585790155983,0.9992465624411377,18608,4,5305,83
0.033116591774582795,0.22185513549682168,0.9992465624411377,18607,4,5305,84
0.03312430078669531,0.2218644138680942,0.9992465624411377,18606,4,5305,85
0.03324759133137072,0.2218736930154747,0.9992465624411377,18605,4,5305,86
0.033247763822825425,0.2218829729390606,0.9992465624411377,18604,4,5305,87
0.03328028601384847,0.2218922536389493,0.9992465624411377,18603,4,5305,88
0.03353089698047367,0.22190153511523822,0.9992465624411377,18602,4,5305,89
0.03355446108332715,0.22191081736802476,0.9992465624411377,18601,4,5305,90
0.033596274123233634,0.2219201003974064,0.9992465624411377,18600,4,5305,91
0.03364653199873512,0.2219293842034806,0.9992465624411377,18599,4,5305,92
0.03372205657310135,0.2219386687863448,0.9992465624411377,18598,4,5305,93
0.03380853320208736,0.22194795414609655,0.9992465624411377,18597,4,5305,94
0.03382167140819795,0.22195724028283337,0.9992465624411377,18596,4,5305,95
0.03394166655583449,0.22196652719665272,0.9992465624411377,18595,4,5305,96
0.03404088316148527,0.2219758148876522,0.9992465624411377,18594,4,5305,97
0.03405486818210955,0.22198510335592936,0.9992465624411377,18593,4,5305,98
0.03407356365695511,0.2219943926015818,0.9992465624411377,18592,4,5305,99
0.03414039076295243,0.22200368262470707,0.9992465624411377,18591,4,5305,100
0.034173997118637695,0.2220129734254028,0.9992465624411377,18590,4,5305,101
0.034254178007805065,0.22202226500376662,0.9992465624411377,18589,4,5305,102
0.03436439601254414,0.22203155735989621,0.9992465624411377,18588,4,5305,103
0.034597675942938,0.22204085049388916,0.9992465624411377,18587,4,5305,104
0.03476692599629662,0.2220501444058432,0.9992465624411377,18586,4,5305,105
0.034819363726152894,0.22205943909585601,0.9992465624411377,18585,4,5305,106
0.03496325334267458,0.22202687429360793,0.9990582030514221,18585,5,5304,106
0.03504431236315635,0.22203616878767582,0.9990582030514221,18584,5,5304,107
0.03506518727390946,0.22204546405994893,0.9990582030514221,18583,5,5304,108
0.035079019262838435,0.222054760110525,0.9990582030514221,18582,5,5304,109
0.035185729311961886,0.2220640569395018,0.9990582030514221,18581,5,5304,110
0.03520280641508916,0.22207335454697705,0.9990582030514221,18580,5,5304,111
0.03531562843722663,0.2220826529330486,0.9990582030514221,18579,5,5304,112
0.035363752170536784,0.22209195209781427,0.9990582030514221,18578,5,5304,113
0.03566043610391844,0.2221012520413718,0.9990582030514221,18577,5,5304,114
