model,pr_auc_mean,pr_auc_sd
lr,0.5453054235222575,0.01154300628085631
dt,0.5105069765016429,0.012133478012336978
rf,0.5335632076957743,0.00916914763434047
xgb,0.5319179226619628,0.01001396514304409
dummy,0.2212083333333333,9.316949906249339e-05
