model,threshold,precision,recall,fp,fn,precision_at_050,recall_at_050,selection_input_rows
lr,0.18957347055038698,0.4325272522240321,0.6502166132981729,4529,1857,0.680103550295858,0.3463929176869467,24000
dt,0.1750291715285881,0.39898591549295775,0.6669805989828593,5334,1768,0.6682196339434276,0.37822565454887924,24000
rf,0.19917285597671583,0.45205658894419704,0.6500282539084573,4183,1858,0.6866859623733719,0.35750612168016577,24000
xgb,0.212750643491745,0.45988805970149255,0.6500282539084573,4053,1858,0.6797227036395147,0.3693727632322471,24000
