model_a,model_b,mean_diff,sd_diff,folds_agreeing_in_sign,n_folds,fold_diff_1,fold_diff_2,fold_diff_3,fold_diff_4,fold_diff_5
lr,dt,0.12672460117557088,0.00494646345800579,5,5,0.13410880481693915,0.12445421192872225,0.12232662077749701,0.12331787855226567,0.1294154898024305
lr,rf,-0.032111032005702825,0.012245289529407849,5,5,-0.018451122626949534,-0.03743622224484838,-0.04752681743699383,-0.0207563931227967,-0.03638460459692566
lr,xgb,-0.04563578102258141,0.014587605332986794,5,5,-0.027535411345699312,-0.056748564010189295,-0.0629195876538291,-0.03557139476657106,-0.04540394733661829
dt,rf,-0.15883563318127375,0.010446408867764111,5,5,-0.1525599274438887,-0.16189043417357063,-0.16985343821449084,-0.14407427167506237,-0.16580009439935617
dt,xgb,-0.17236038219815233,0.011689593501482323,5,5,-0.16164421616263847,-0.18120277593891154,-0.1852462084313261,-0.15888927331883673,-0.1748194371390488
rf,xgb,-0.01352474901687859,0.004434716965278551,5,5,-0.009084288718749778,-0.019312341765340912,-0.015392770216835272,-0.014815001643774361,-0.009019342739692626
