model,pr_auc_mean,pr_auc_sd
lr,0.741458901028709,0.03941634380968825
dt,0.7882418428655251,0.020630357195314527
rf,0.9268238401524883,0.026604958080306263
xgb,0.9487559507671438,0.01914755446893851
dummy,0.15714285714285714,0.0008873285624999133
