model,floored_metric,floor_value,optimised_metric,selection_mode,threshold,floor_attained,predicted_positive,precision,recall,tp,fp,tn,fn,precision_at_050,recall_at_050,predicted_positive_at_050,selection_input_rows
lr,recall,0.8,precision,constrained,0.2632735665445506,True,553,0.5732368896925859,0.8005050505050505,317,236,1888,79,0.7729257641921398,0.44696969696969696,229,2520
dt,recall,0.8,precision,constrained,0.3150684931506849,True,573,0.5759162303664922,0.8333333333333334,330,243,1881,66,0.7131367292225201,0.6717171717171717,373,2520
rf,recall,0.8,precision,constrained,0.5090332619760031,True,357,0.8879551820728291,0.8005050505050505,317,40,2084,79,0.8842975206611571,0.8106060606060606,363,2520
xgb,recall,0.8,precision,constrained,0.5466474294662476,True,355,0.8929577464788733,0.8005050505050505,317,38,2086,79,0.8829787234042553,0.8383838383838383,376,2520
