model,pr_auc_mean,pr_auc_sd,pr_auc_fold_1,pr_auc_fold_2,pr_auc_fold_3,pr_auc_fold_4,pr_auc_fold_5,search_score,params_json,complexity_proxies_json,final_fit_search_score,final_fit_params_json
lr,0.7462038494592672,0.037409132871706094,0.7754054254015266,0.7496421706981089,0.6885936193823252,0.7352100739972965,0.7821679578170788,0.7507517248203487,"[{""fold"": 1, ""params"": {""classifier__C"": 70.72114131472235}}, {""fold"": 2, ""params"": {""classifier__C"": 21.42302175774105}}, {""fold"": 3, ""params"": {""classifier__C"": 56.69849511478853}}, {""fold"": 4, ""params"": {""classifier__C"": 55.51721685244721}}, {""fold"": 5, ""params"": {""classifier__C"": 70.72114131472235}}]","[{""fold"": 1, ""nonzero_coefficients"": 14}, {""fold"": 2, ""nonzero_coefficients"": 14}, {""fold"": 3, ""nonzero_coefficients"": 14}, {""fold"": 4, ""nonzero_coefficients"": 14}, {""fold"": 5, ""nonzero_coefficients"": 14}]",0.7405793450137548,"{""classifier__C"": 14.528246637516036}"
dt,0.7114316929630007,0.032479663844809374,0.7290004547981689,0.709443951364002,0.703238864284814,0.664075905646672,0.7513992887213464,0.70135341621567,"[{""fold"": 1, ""params"": {""classifier__ccp_alpha"": 0.004719698394979115, ""classifier__criterion"": ""entropy"", ""classifier__max_depth"": 4, ""classifier__min_samples_leaf"": 31, ""classifier__min_samples_split"": 18}}, {""fold"": 2, ""params"": {""classifier__ccp_alpha"": 0.004719698394979115, ""classifier__criterion"": ""entropy"", ""classifier__max_depth"": 4, ""classifier__min_samples_leaf"": 31, ""classifier__min_samples_split"": 18}}, {""fold"": 3, ""params"": {""classifier__ccp_alpha"": 0.0003193250444042839, ""classifier__criterion"": ""entropy"", ""classifier__max_depth"": 5, ""classifier__min_samples_leaf"": 32, ""classifier__min_samples_split"": 120}}, {""fold"": 4, ""params"": {""classifier__ccp_alpha"": 0.004719698394979115, ""classifier__criterion"": ""entropy"", ""classifier__max_depth"": 4, ""classifier__min_samples_leaf"": 31, ""classifier__min_samples_split"": 18}}, {""fold"": 5, ""params"": {""classifier__ccp_alpha"": 0.009130691409658205, ""classifier__criterion"": ""entropy"", ""classifier__max_depth"": 5, ""classifier__min_samples_leaf"": 24, ""classifier__min_samples_split"": 39}}]","[{""depth"": 4, ""fold"": 1, ""leaves"": 10}, {""depth"": 4, ""fold"": 2, ""leaves"": 10}, {""depth"": 5, ""fold"": 3, ""leaves"": 12}, {""depth"": 4, ""fold"": 4, ""leaves"": 9}, {""depth"": 4, ""fold"": 5, ""leaves"": 11}]",0.7060387469846502,"{""classifier__ccp_alpha"": 0.003993475643167195, ""classifier__criterion"": ""gini"", ""classifier__max_depth"": 5, ""classifier__min_samples_leaf"": 7, ""classifier__min_samples_split"": 110}"
rf,0.9387690337755771,0.01052827027463108,0.943297440340068,0.9393979425141513,0.9370255656455297,0.9226814104441482,0.9514428099339884,0.9237111385738721,"[{""fold"": 1, ""params"": {""classifier__max_depth"": 10, ""classifier__max_features"": ""log2"", ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 347}}, {""fold"": 2, ""params"": {""classifier__max_depth"": 10, ""classifier__max_features"": ""log2"", ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 347}}, {""fold"": 3, ""params"": {""classifier__max_depth"": 10, ""classifier__max_features"": ""log2"", ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 347}}, {""fold"": 4, ""params"": {""classifier__max_depth"": 10, ""classifier__max_features"": ""log2"", ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 347}}, {""fold"": 5, ""params"": {""classifier__max_depth"": 10, ""classifier__max_features"": ""log2"", ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 347}}]","[{""fold"": 1, ""max_depth"": 10, ""mean_depth"": 10.0, ""mean_leaves"": 84.39769452449568, ""n_estimators"": 347}, {""fold"": 2, ""max_depth"": 10, ""mean_depth"": 10.0, ""mean_leaves"": 82.16138328530259, ""n_estimators"": 347}, {""fold"": 3, ""max_depth"": 10, ""mean_depth"": 10.0, ""mean_leaves"": 83.11815561959654, ""n_estimators"": 347}, {""fold"": 4, ""max_depth"": 10, ""mean_depth"": 10.0, ""mean_leaves"": 80.22478386167147, ""n_estimators"": 347}, {""fold"": 5, ""max_depth"": 10, ""mean_depth"": 10.0, ""mean_leaves"": 82.04610951008645, ""n_estimators"": 347}]",0.9327198519273764,"{""classifier__max_depth"": 10, ""classifier__max_features"": ""log2"", ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 347}"
xgb,0.9374210842766244,0.020431170628260987,0.955636564154518,0.9401353416012815,0.9236838795341381,0.9102029745831098,0.9574466615100745,0.9208859366176283,"[{""fold"": 1, ""params"": {""classifier__colsample_bytree"": 0.6987504251354405, ""classifier__learning_rate"": 0.10678883315833304, ""classifier__max_depth"": 4, ""classifier__min_child_weight"": 1, ""classifier__n_estimators"": 300, ""classifier__reg_lambda"": 0.37126241790405323, ""classifier__subsample"": 0.6147547789418131}}, {""fold"": 2, ""params"": {""classifier__colsample_bytree"": 0.6987504251354405, ""classifier__learning_rate"": 0.10678883315833304, ""classifier__max_depth"": 4, ""classifier__min_child_weight"": 1, ""classifier__n_estimators"": 300, ""classifier__reg_lambda"": 0.37126241790405323, ""classifier__subsample"": 0.6147547789418131}}, {""fold"": 3, ""params"": {""classifier__colsample_bytree"": 0.6602870175861718, ""classifier__learning_rate"": 0.056321111202236006, ""classifier__max_depth"": 6, ""classifier__min_child_weight"": 3, ""classifier__n_estimators"": 347, ""classifier__reg_lambda"": 0.44866047355907207, ""classifier__subsample"": 0.6880964190262193}}, {""fold"": 4, ""params"": {""classifier__colsample_bytree"": 0.8438257335919588, ""classifier__learning_rate"": 0.05527361503993264, ""classifier__max_depth"": 6, ""classifier__min_child_weight"": 1, ""classifier__n_estimators"": 584, ""classifier__reg_lambda"": 0.30138649046798016, ""classifier__subsample"": 0.6579579488364892}}, {""fold"": 5, ""params"": {""classifier__colsample_bytree"": 0.7470863212237734, ""classifier__learning_rate"": 0.02464541037732725, ""classifier__max_depth"": 6, ""classifier__min_child_weight"": 3, ""classifier__n_estimators"": 463, ""classifier__reg_lambda"": 1.829267641174572, ""classifier__subsample"": 0.9179245214166594}}]","[{""fold"": 1, ""max_depth"": 4, ""n_estimators"": 300}, {""fold"": 2, ""max_depth"": 4, ""n_estimators"": 300}, {""fold"": 3, ""max_depth"": 6, ""n_estimators"": 347}, {""fold"": 4, ""max_depth"": 6, ""n_estimators"": 584}, {""fold"": 5, ""max_depth"": 6, ""n_estimators"": 463}]",0.9393392718053128,"{""classifier__colsample_bytree"": 0.8438257335919588, ""classifier__learning_rate"": 0.05527361503993264, ""classifier__max_depth"": 6, ""classifier__min_child_weight"": 1, ""classifier__n_estimators"": 584, ""classifier__reg_lambda"": 0.30138649046798016, ""classifier__subsample"": 0.6579579488364892}"
