model_a,model_b,mean_diff,sd_diff,folds_agreeing_in_sign,n_folds,fold_diff_1,fold_diff_2,fold_diff_3,fold_diff_4,fold_diff_5
lr,dt,0.03477215649626657,0.031404887758272375,4,5,0.04640497060335769,0.040198219334106944,-0.014645244902488752,0.07113416835062458,0.030768669095732393
lr,rf,-0.19256518431630992,0.032810592939808744,5,5,-0.16789201493854145,-0.18975577181604242,-0.24843194626320453,-0.18747133644685166,-0.16927485211690962
lr,xgb,-0.1912172348173572,0.025314653478490354,5,5,-0.18023113875299146,-0.19049317090317264,-0.2350902601518129,-0.1749929005858133,-0.1752787036929957
dt,rf,-0.2273373408125765,0.02202920018631434,5,5,-0.21429698554189913,-0.22995399115014936,-0.23378670136071578,-0.25860550479747624,-0.20004352121264202
dt,xgb,-0.22598939131362378,0.014632816773735808,5,5,-0.22663610935634915,-0.23069139023727958,-0.22044501524932414,-0.24612706893643788,-0.2060473727887281
rf,xgb,0.0013479494989527385,0.011329950112908852,2,5,-0.012339123814450015,-0.0007373990871302194,0.013341686111391637,0.012478435861038362,-0.006003851576086072
