dataset,stage,model,scope,metric,value,source_file,seed_applicable,seed,code_version
Default of Credit Card Clients,2,,source position decile 3,rows,3000.0,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 3,positive_count,707.0,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 3,positive_rate,0.23566666666666666,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 4,rows,3000.0,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 4,positive_count,673.0,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 4,positive_rate,0.22433333333333333,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 5,rows,3000.0,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 5,positive_count,684.0,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 5,positive_rate,0.228,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 6,rows,3000.0,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 6,positive_count,773.0,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 6,positive_rate,0.25766666666666665,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 7,rows,3000.0,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 7,positive_count,646.0,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 7,positive_rate,0.21533333333333332,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 8,rows,3000.0,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 8,positive_count,574.0,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 8,positive_rate,0.19133333333333333,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 9,rows,3000.0,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 9,positive_count,603.0,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 9,positive_rate,0.201,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 10,rows,3000.0,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
