threshold,predicted_positive,precision,recall,tp,fp,tn,fn
0.9244605221335861,1,1.0,0.0002363507445048452,1,0,31937,4230
0.924127738147186,2,0.5,0.0002363507445048452,1,1,31936,4230
0.9238950513372325,3,0.6666666666666666,0.0004727014890096904,2,1,31936,4229
0.9230857708454573,4,0.75,0.0007090522335145356,3,1,31936,4228
0.9199995323444077,5,0.6,0.0007090522335145356,3,2,31935,4228
0.9186766001711153,6,0.5,0.0007090522335145356,3,3,31934,4228
0.918508118721686,7,0.5714285714285714,0.0009454029780193808,4,3,31934,4227
0.9170858696421319,8,0.625,0.001181753722524226,5,3,31934,4226
0.9126223375256022,9,0.6666666666666666,0.0014181044670290711,6,3,31934,4225
0.9075950996767015,10,0.7,0.0016544552115339162,7,3,31934,4224
0.90453728269931,11,0.7272727272727273,0.0018908059560387616,8,3,31934,4223
0.9016520285699555,12,0.75,0.002127156700543607,9,3,31934,4222
0.901516362628427,13,0.7692307692307693,0.002363507445048452,10,3,31934,4221
0.8990532283786098,14,0.7857142857142857,0.002599858189553297,11,3,31934,4220
0.8961338777738187,15,0.8,0.0028362089340581422,12,3,31934,4219
0.8958610699320967,16,0.8125,0.0030725596785629874,13,3,31934,4218
0.895229595193054,17,0.8235294117647058,0.0033089104230678325,14,3,31934,4217
0.8949606804506574,18,0.8333333333333334,0.003545261167572678,15,3,31934,4216
0.8943828021575712,19,0.8421052631578947,0.003781611912077523,16,3,31934,4215
0.8911162703539571,20,0.8,0.003781611912077523,16,4,31933,4215
0.889403833783246,21,0.8095238095238095,0.004017962656582368,17,4,31933,4214
0.8880471052154696,22,0.8181818181818182,0.004254313401087214,18,4,31933,4213
0.8873734806216257,23,0.782608695652174,0.004254313401087214,18,5,31932,4213
0.8871935810175935,24,0.7916666666666666,0.0044906641455920585,19,5,31932,4212
0.8865974165716592,25,0.8,0.004727014890096904,20,5,31932,4211
0.8851969490846008,26,0.8076923076923077,0.004963365634601749,21,5,31932,4210
0.8849968611819332,27,0.7777777777777778,0.004963365634601749,21,6,31931,4210
0.8830307891029632,28,0.75,0.004963365634601749,21,7,31930,4210
0.8830304941329876,29,0.7241379310344828,0.004963365634601749,21,8,31929,4210
0.8829621857908576,30,0.7333333333333333,0.005199716379106594,22,8,31929,4209
0.882218028630347,31,0.7419354838709677,0.005436067123611439,23,8,31929,4208
0.8821580357511265,32,0.75,0.0056724178681162845,24,8,31929,4207
0.8813258194957658,33,0.7575757575757576,0.00590876861262113,25,8,31929,4206
0.8809782422795163,34,0.7647058823529411,0.006145119357125975,26,8,31929,4205
0.8808343006151007,35,0.7714285714285715,0.00638147010163082,27,8,31929,4204
0.8795612912486086,36,0.75,0.00638147010163082,27,9,31928,4204
0.878161467650342,37,0.7297297297297297,0.00638147010163082,27,10,31927,4204
0.8777924755892799,38,0.7105263157894737,0.00638147010163082,27,11,31926,4204
0.8775934961493069,39,0.717948717948718,0.006617820846135665,28,11,31926,4203
0.8771816983620743,40,0.7,0.006617820846135665,28,12,31925,4203
0.8767354481274852,41,0.6829268292682927,0.006617820846135665,28,13,31924,4203
0.8757119918187917,42,0.6904761904761905,0.0068541715906405105,29,13,31924,4202
0.874907416521358,43,0.6976744186046512,0.007090522335145356,30,13,31924,4201
0.8747178384556461,44,0.7045454545454546,0.007326873079650201,31,13,31924,4200
0.8747030830028931,45,0.7111111111111111,0.007563223824155046,32,13,31924,4199
0.8745518444410448,46,0.717391304347826,0.007799574568659891,33,13,31924,4198
0.8745421475469327,47,0.723404255319149,0.008035925313164737,34,13,31924,4197
0.8742707404501144,48,0.7291666666666666,0.008272276057669581,35,13,31924,4196
0.873793418456441,49,0.7346938775510204,0.008508626802174428,36,13,31924,4195
0.8730730271187176,50,0.74,0.008744977546679272,37,13,31924,4194
0.872925523124941,51,0.7254901960784313,0.008744977546679272,37,14,31923,4194
0.87261388270354,52,0.7115384615384616,0.008744977546679272,37,15,31922,4194
0.8675037411766546,53,0.7169811320754716,0.008981328291184117,38,15,31922,4193
0.8672250982086747,54,0.7222222222222222,0.009217679035688962,39,15,31922,4192
0.8672207788404107,55,0.7272727272727273,0.009454029780193808,40,15,31922,4191
0.8667992078442832,56,0.7321428571428571,0.009690380524698653,41,15,31922,4190
0.8665918131331101,57,0.7368421052631579,0.009926731269203497,42,15,31922,4189
0.8661192783320905,58,0.7413793103448276,0.010163082013708344,43,15,31922,4188
0.8659801061005058,59,0.7457627118644068,0.010399432758213189,44,15,31922,4187
0.8649950082059761,60,0.75,0.010635783502718033,45,15,31922,4186
0.8647906463096564,61,0.7540983606557377,0.010872134247222878,46,15,31922,4185
0.864360145807168,62,0.7580645161290323,0.011108484991727724,47,15,31922,4184
0.8639882975322165,63,0.7619047619047619,0.011344835736232569,48,15,31922,4183
0.8635676981718383,64,0.765625,0.011581186480737414,49,15,31922,4182
0.8634378021072628,65,0.7538461538461538,0.011581186480737414,49,16,31921,4182
