model,slope,intercept,brier,log_loss,input_rows,score_source
lr,1.0197241213963613,0.03506222062463662,0.08604317654646222,0.3013400314936635,36168,nested OOF
dt,0.9883348159087111,-0.021698246808701,0.09047818288316134,0.3173107833365617,36168,nested OOF
rf,1.1172107173014028,0.2062532600301443,0.0833561060481898,0.2914595569581937,36168,nested OOF
xgb,1.0255168754056154,0.050512722198812324,0.08171139948992737,0.2849317801113103,36168,nested OOF
