model,pr_auc_mean,pr_auc_sd
lr,0.4054118077939635,0.007668219024942904
dt,0.30073220735192313,0.014815572979912027
rf,0.4137857235273298,0.0238429982176896
xgb,0.42188302033507075,0.012995203009761869
dummy,0.11698186142744749,5.876439263078321e-05
