dataset,stage,model,scope,metric,value,source_file,seed_applicable,seed,code_version
Bank Marketing,9,rf,nested development CV,pr_auc_sd,0.013876503868044168,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,rf,nested development CV,pr_auc_fold_1,0.4222600739863906,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,rf,nested development CV,pr_auc_fold_2,0.4429230714371034,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,rf,nested development CV,pr_auc_fold_3,0.44472710111798813,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,rf,nested development CV,pr_auc_fold_4,0.4254048766842635,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,rf,nested development CV,pr_auc_fold_5,0.4551581265700617,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,rf,nested development CV,search_score,0.43173263439672427,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,rf,nested development CV,final_fit_search_score,0.44078355435876526,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,xgb,nested development CV,pr_auc_mean,0.4516193989760401,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,xgb,nested development CV,pr_auc_sd,0.014863454222308975,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,xgb,nested development CV,pr_auc_fold_1,0.43134436270514037,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,xgb,nested development CV,pr_auc_fold_2,0.4622354132024443,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,xgb,nested development CV,pr_auc_fold_3,0.4601198713348234,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,xgb,nested development CV,pr_auc_fold_4,0.4402198783280379,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,xgb,nested development CV,pr_auc_fold_5,0.46417746930975434,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,xgb,nested development CV,search_score,0.4475456695260351,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,9,xgb,nested development CV,final_fit_search_score,0.4567386895285546,outputs/modelling/nested_cv.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,11,lr,nested OOF development,slope,1.0197241213963613,outputs/modelling/calibration.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,11,lr,nested OOF development,intercept,0.03506222062463662,outputs/modelling/calibration.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,11,lr,nested OOF development,brier,0.08604317654646222,outputs/modelling/calibration.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,11,lr,nested OOF development,log_loss,0.3013400314936635,outputs/modelling/calibration.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,11,dt,nested OOF development,slope,0.9883348159087111,outputs/modelling/calibration.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,11,dt,nested OOF development,intercept,-0.021698246808701,outputs/modelling/calibration.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,11,dt,nested OOF development,brier,0.09047818288316134,outputs/modelling/calibration.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,11,dt,nested OOF development,log_loss,0.3173107833365617,outputs/modelling/calibration.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,11,rf,nested OOF development,slope,1.1172107173014028,outputs/modelling/calibration.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,11,rf,nested OOF development,intercept,0.2062532600301443,outputs/modelling/calibration.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,11,rf,nested OOF development,brier,0.0833561060481898,outputs/modelling/calibration.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,11,rf,nested OOF development,log_loss,0.2914595569581937,outputs/modelling/calibration.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,11,xgb,nested OOF development,slope,1.0255168754056154,outputs/modelling/calibration.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,11,xgb,nested OOF development,intercept,0.050512722198812324,outputs/modelling/calibration.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,11,xgb,nested OOF development,brier,0.08171139948992737,outputs/modelling/calibration.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,11,xgb,nested OOF development,log_loss,0.2849317801113103,outputs/modelling/calibration.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,lr,nested OOF development,threshold,0.2410990911590416,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,lr,nested OOF development,precision,0.5,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,lr,nested OOF development,recall,0.37697943748522805,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,lr,nested OOF development,fp,1595.0,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,lr,nested OOF development,fn,2636.0,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,lr,nested OOF development,precision_at_050,0.6614391143911439,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,lr,nested OOF development,recall_at_050,0.169463483809974,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,dt,nested OOF development,threshold,0.3630769230769231,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,dt,nested OOF development,precision,0.5412453432676956,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,dt,nested OOF development,recall,0.24036870716142755,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,dt,nested OOF development,fp,862.0,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,dt,nested OOF development,fn,3214.0,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,dt,nested OOF development,precision_at_050,0.6464730290456432,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,dt,nested OOF development,recall_at_050,0.1841172299692744,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,rf,nested OOF development,threshold,0.28745734082135144,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,rf,nested OOF development,precision,0.5,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,rf,nested OOF development,recall,0.40132356416922715,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,rf,nested OOF development,fp,1698.0,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,rf,nested OOF development,fn,2533.0,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,rf,nested OOF development,precision_at_050,0.6694772344013491,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
Bank Marketing,12,rf,nested OOF development,recall_at_050,0.18766249113684708,outputs/modelling/thresholds_selected.csv,True,42,bank-marketing-workflow-2026-08-24-v1:dbe8eacbe67beacc
