model,threshold,precision,recall,fp,fn,precision_at_050,recall_at_050,selection_input_rows
lr,0.28832057530235305,0.5389221556886228,0.75,154,60,0.6373626373626373,0.48333333333333334,800
dt,0.2631578947368421,0.4639175257731959,0.75,208,60,0.519774011299435,0.38333333333333336,800
rf,0.33115122734103086,0.5357142857142857,0.75,156,60,0.6260869565217392,0.3,800
xgb,0.29568660259246826,0.5373134328358209,0.75,155,60,0.6210526315789474,0.49166666666666664,800
