model,pr_auc_mean,pr_auc_sd
lr,0.6253901149328783,0.0531958951696183
dt,0.45694083067650243,0.05589455434910366
rf,0.6122823172073405,0.09188281900030779
xgb,0.6101584098505098,0.06749423798110905
dummy,0.3,0.0
